name,price,shape,category_id
ACTRAPID HM 100 I.U./ML VIAL 10 ML,55,AMP-VIAL,11
ADOLOR 15MG 3 AMP.,7.5,AMP-VIAL,4
ADOLOR 30MG 3 AMP,12,AMP-VIAL,4
ADRENOCORTINE 1MG/ML I.M. AMP.,45,AMP-VIAL,
ADVOMIKACIN  500MG  AMP,16.5,AMP-VIAL,12
ADWIFLAM 75MG/3ML 6 AMP.,29.25,AMP-VIAL,4
ALFACLINDAMYCIN 300MG 5 AMP,99.5,AMP-VIAL,12
AMIKACIN 500MG/2ML VIAL,11,AMP-VIAL,12
AMINOLEBAN I.V. infusion,72,AMP-VIAL,
AMPICILLIN 500MG CAPS. EL NASR,11.5,AMP-VIAL,12
AMPIFLUX 500MG 12 CAPS.,12,AMP-VIAL,12
AMPOFER 20M 5 AMP,113.5,AMP-VIAL,13
AMRI-K 10MG/ML 5 AMP.,10.5,AMP-VIAL,13
AMRIZOLE 500MG 100 ML VIAL,23.5,AMP-VIAL,12
ANTI-COX II 15MG/3ML 6 AMP,31.5,AMP-VIAL,4
ANTODINE 20MG/2ML 3 AMP,27,AMP-VIAL,6
ARTICAVOL 75MG 3 AMP,9.75,AMP-VIAL,4
ATROVENT 250MCG/2ML UNIT DOSE VIAL.,80,AMP-VIAL,5
ATROVENT 500MCG/2ML UNIT DOSE VIAL.,85,AMP-VIAL,5
AVEROZOLID INFUSION 300ML,126,AMP-VIAL,12
AVIL 45.5MG/2ML 6 AMP,30,AMP-VIAL,5
B12 DEPOT 1000 MCG 5 AMP,20,AMP-VIAL,13
B-COM I.M./I.V. 6 AMP.,24,AMP-VIAL,13
BECOZYME I.M./I.V. 12 AMP.,52.5,AMP-VIAL,13
BETAFOS 1 AMP. 2 ML,16,AMP-VIAL,5
BETOLVEX 1MG/ML 2 AMP.,27,AMP-VIAL,13
BIOVIT 12 DEPOT 2 AMP.,10.5,AMP-VIAL,13
BUSCOPAN 20MG/ML 6 AMP.,27,AMP-VIAL,8
BUTACID 20MG/ML 6 I.M./I.V. AMP.,27,AMP-VIAL,8
CALCIONATE 6 AMP.,32.5,AMP-VIAL,13
CAL-HEPARINE 5000I.U. 3AMP.,75,AMP-VIAL,14
CATAFLAM 75MG 3 AMP,25.75,AMP-VIAL,4
CATAFLAM 75MG 6 AMP,51.5,AMP-VIAL,4
CEFAXONE 1GM I.M. VIAL,36,AMP-VIAL,12
CEFAXONE 250MG I.M.VIAL.,15,AMP-VIAL,12
CEFAXONE 2GM VIAL (I.V. ONLY),50.5,AMP-VIAL,12
CEFAXONE 500MG I.M. VIAL,25.25,AMP-VIAL,12
CEFAXONE 500MG I.V. VIAL,25.25,AMP-VIAL,12
CEFAZONE 1GM VIAL,24.5,AMP-VIAL,12
CEFEPIME 1GM I.M/I.V VIAL,38,AMP-VIAL,12
CEFEPIME 500MG I.M/I.V VIAL,25.25,AMP-VIAL,12
CEFORAN 1GM VIAL,21.75,AMP-VIAL,12
CEFORAN 2GM VIAL,32.5,AMP-VIAL,12
CEFORAN 500MG VIAL,15,AMP-VIAL,12
CEFOTAX 1GM  VIAL I.M.\I.V. EIPICO,22.5,AMP-VIAL,12
CEFOTAX 2G VIAL I.M.\I.V. EIPICO,32.5,AMP-VIAL,12
CEFOTAX 500MG VIAL I.M.\I.V. EIPICO,15,AMP-VIAL,12
CEFOTRIX 1GM VIAL IM,45,AMP-VIAL,12
CEFRONE 1 GM VIAL,16.8,AMP-VIAL,12
CEFTRIAXONE 1000MG I.M.VIAL SANDOZ,52.25,AMP-VIAL,12
CEFTRIAXONE 500MG I.M.VIAL SANDOZ,32.5,AMP-VIAL,12
CEFZIM 1GM VIAL,30.75,AMP-VIAL,12
CEREBROCETAM 1GM/5ML 6 AMP.,18,AMP-VIAL,12
CEREBROLYSIN 215.2MG/ML I.M./I.V.   5ML,285,AMP-VIAL,12
CEREBROLYSIN 215.2MG/ML I.M./I.V. 1ML  1,120,AMP-VIAL,12
CETAZIME 1GM IV/IM VIAL,45,AMP-VIAL,12
CHAMPIX 1MG F.C.TABLET,270,AMP-VIAL,15
CHORIONIC GONADOTROPHIN 5000I.U AMP,90,AMP-VIAL,
CIDODIAN-DEPOT I.M. 1 AMP.,18,AMP-VIAL,
CIDOLUT-DEPOT 250MG 1 AMP.,11.25,AMP-VIAL,
CIDOTESTONE 250MG 1 AMP.,17,AMP-VIAL,
CLAFORAN 1GM I.M\I.V. VIAL,46.5,AMP-VIAL,12
CONTROLOC 40MG I.V.VIAL,67.5,AMP-VIAL,6
CORTIPLEX B6 ADULT 3AMP.,27,AMP-VIAL,9
CORTIPLEX B6 PEDIATRIC 3 AMP.,22.5,AMP-VIAL,9
COSMOFER 5 AMP.,148.5,AMP-VIAL,13
DANSET 4MG/2ML  3AMP,79,AMP-VIAL,9
DANSET 8MG/4ML 3  AMP,113.5,AMP-VIAL,9
DECLOPHEN 75MG 3 AMP.,11.25,AMP-VIAL,4
DECOBAKON 1.5MG/ML 3 AMP,11,AMP-VIAL,13
DEPOFORT B12 1MG/ML 5 AMP,16.25,AMP-VIAL,13
DEPO-PEN 1.2MIU VIAL.,10.5,AMP-VIAL,12
DEPOVIT B12-1000 5 AMP,35.25,AMP-VIAL,13
DEVAROL-S-200000 I.U SOL. FOR I.M 1,15,AMP-VIAL,13
DEXAGLOBE 14MG/2ML 1 AMP.,20,AMP-VIAL,5
DEXAMETHASONE 8MG/2ML 3 AMP. AMRYIA,15,AMP-VIAL,5
DEXAMETHASONE 8MG/2ML 5 EPICO AMP,25,AMP-VIAL,5
DICLAC 75MG 5 AMP,18,AMP-VIAL,4
DICYNONE 250MG/2ML 3 AMP.,18,AMP-VIAL,10
DIPROCORTIN 2 ML 1 AMP.,20,AMP-VIAL,5
DISPERCAM  20 MG I.M. 6 AMPOULE,15,AMP-VIAL,4
DOLPHIN K 75MG/3ML 3 I.M.AMP.,12,AMP-VIAL,4
DURAFOS 1 AMP. 2ML IM OR INTRA ARTICULAR,16,AMP-VIAL,5
EMEREST 4MG/2ML 5 AMP.,86,AMP-VIAL,9
EMETREX 50MG/ML 3AMP,12,AMP-VIAL,9
ENTEROGERMINA 10 AMP,64,AMP-VIAL,8
EPICEPHIN 1GM I.M.VIAL,36,AMP-VIAL,12
EPICEPHIN 2GM I.V VIAL,45,AMP-VIAL,12
EPICEPHIN 500MG I.M.VIAL,27,AMP-VIAL,12
